date,North,Yorkshire_and_the_Humber,North_West,East_Midlands,West_Midlands,East_Anglia,Outer_South_East,Outer_Metropolitan,London,South_West,Wales,Scotland,Northern_Ireland,UK_Total
1986-01-01,59.277654337123685,67.85913634749073,53.46954076850984,66.90660675805786,56.799801632715344,76.15187542532324,80.07450449165833,78.78965001069213,84.62881551460731,70.59270929537676,62.42805395675458,64.10846911163567,79.79362943023777,71.11144755019777
1986-04-01,62.133490175576185,69.74932765007357,54.665417057169634,69.3113566548989,58.12161440451667,79.9747808334334,83.65891915014973,82.43067930714948,88.70545318492191,73.47748139294833,63.69697104380097,65.97386147734468,82.5123373710184,73.84038909180371
1986-07-01,59.97473097198624,70.45719794996701,55.59325210871603,70.53550960524505,59.13061722743572,82.21848604939754,87.4304862398403,87.65699622211133,95.29510803479565,76.7135691131997,64.42587613058068,66.50354079106454,83.40062808434276,76.30627732253363
1986-10-01,62.756502417984585,71.54818084944435,56.03373945641987,73.20618036770435,61.095216296635385,86.85801208918778,91.73855696563523,93.08575094447215,101.68054126523867,78.91744082867025,66.36814151425587,66.81827777457923,81.97697024076567,78.9841221778543
1987-01-01,63.294558445519115,74.52174354290354,57.61574507966261,76.0625372518454,63.681620508125434,90.48476842400224,96.68116355340084,100.63297455271224,108.46974090356376,81.96700530595245,66.88370852685615,67.70875314257201,80.0508449229849,81.5540962510172
1987-04-01,64.4251296126868,77.82767544527324,58.88847235238988,78.99454403741231,67.37048905165179,99.3435010608062,103.58084985027806,106.81588138855228,116.53103856826615,86.6355190959961,69.43487633058513,68.21156466501621,85.30581725736502,85.7534868757215
1987-07-01,64.7649544721823,77.58664433957475,59.761949390815374,79.04956214754024,70.33455405508505,105.19194587886794,109.95650933979752,113.1000071280918,122.97727060144048,91.00342261096321,69.33709637991953,68.50327211315178,83.76252430088232,88.6395034159081
1987-10-01,62.13566854006013,76.4576038970924,58.69728209934396,80.20035761771584,70.59777218280308,108.43040710940316,111.14715528304578,113.22688716230664,121.66464003990896,91.98493326814076,67.26149469988222,67.13301475809392,79.65006729475101,88.48242841732745
1988-01-01,62.050712325186254,75.61780078144821,59.780693533270856,82.57989088074825,73.64194705119401,118.00568432008326,118.56017396264082,117.99415496471592,123.80662862844136,98.1945274442694,70.03044512100269,65.47872646669353,79.90429190967549,89.95098503056339
1988-04-01,64.01559708970505,82.48591870908814,62.8078725398313,93.20067855669156,83.89028763256273,134.71638445218366,130.04955083416513,124.90555278351984,131.07286502665795,111.51916843229932,73.50163336963041,67.56481854645249,81.241214296396,97.61359550349161
1988-07-01,67.82555657212565,92.29461612624957,67.56326148078726,108.87167025812664,98.99481193255512,154.83367359192985,144.9540139740482,135.6661201796279,139.93234184516572,129.60649028449322,83.03740083112957,70.49532692344599,78.89935696126814,108.42527582748244
1988-10-01,73.25839759508561,105.17075150961588,73.8369259606373,120.50570812892578,105.0087739375906,151.14487010127698,149.91622700698704,138.70838976406014,141.2527671249961,133.00374857391213,95.82435165225894,73.16291477152782,81.23224166292806,114.19730890785564
1989-01-01,80.98723478412408,115.3853960521642,80.8659793814433,127.50447022144787,109.14587624933242,153.90897081782154,151.56673320975332,142.03293178416138,143.08452592523307,131.75241303127433,104.69121536034132,76.52330780893163,80.79258262299987,118.76383868586892
1989-04-01,91.85073846556008,124.22996904653168,90.058106841612,130.8949612580808,113.58815899900816,155.79640526800367,154.07457578782262,144.27542946753152,145.88594768185078,135.50823056445918,111.64248094402096,83.9119504097338,84.14834754000297,124.16873261293314
1989-07-01,94.5453753322006,132.265184959659,99.60074976569823,127.5663655953418,117.5459678034638,146.8916376446099,148.5473406530729,140.40202437807395,143.4929691640944,134.30760036942468,111.90693126513922,89.92074001573684,82.54523702706744,125.24176302492384
1989-10-01,102.90593822158324,129.26625057086312,98.17619493908154,133.51749117417816,115.28191042954148,139.1677675033025,139.84920861257666,133.24256896428824,139.72188445109597,125.62612049763678,111.48025511678036,92.39257681309613,83.30791087184089,122.67557389148578
1990-01-01,95.82843201324447,123.63373420611964,101.66447985004686,128.61858695153822,115.78736552986952,125.63348144589888,132.8728789391131,124.92836267731128,136.0599257942818,121.21475525615256,112.24027200604458,86.09207975895752,86.72648422311948,118.86792452830188
1990-04-01,98.6145601882107,120.00050743390672,105.7244611059044,126.3628444362936,115.66720073243305,126.83639566070212,129.7893198345929,121.78202295245562,129.94107192966047,120.84351967548578,109.24242760950244,88.92279348264147,84.68670554807836,117.66242122594196
1990-07-01,102.27856925020696,110.73222712741664,104.20056232427366,121.79175645316585,112.08705271992064,122.39101717305152,122.57414801083702,118.45890655071636,123.20487637576778,121.51536553122908,103.35340785350785,91.31978429001859,80.02691790040377,114.19730890785564
1990-10-01,103.53984228641136,102.96848835439184,104.02811621368322,115.61597359130714,110.15487907225146,118.1618029702574,116.85084842435478,112.00085537101717,116.33617061079411,112.77050397493709,99.72221604924552,88.7769397585737,85.82622999850456,109.55697280520808
1991-01-01,102.38501648067589,105.05404946752358,106.12224738400104,114.21628487760708,107.92816542175466,117.18305919187448,115.599447162171,112.23419339984017,115.2338245311503,110.77559909803507,100.71564041287516,90.36714080627812,88.1872311817072,108.81510015101472
1991-04-01,106.80101747039804,107.69348251637496,107.93317714163202,116.44694673562968,112.68529733584892,116.79470504887598,117.99648330254688,115.17160192804904,116.3610130135832,111.36049809614008,103.58851017143512,92.97717756627448,88.58099589026227,110.55306247431312
1991-07-01,105.04655696309132,108.46040534319164,107.97677097852244,114.7776741360492,111.43494589750054,115.65210852885951,115.93557629267748,114.41497575196604,116.1608056756072,112.9975835385093,103.3955725071914,93.97842652937565,91.59636229825485,109.52528297108658
1991-10-01,105.83584879064124,105.47826586705312,107.69609725692304,112.00745343834424,108.17616827881348,112.92146389422332,111.90857642964704,110.5445953130458,112.50872249556954,108.2450115279274,103.24164199348004,94.67279942494787,89.10666430900042,106.99553257120488
1992-01-01,102.42923608869256,108.85911188887222,103.51379736440909,109.3115632325618,107.20715228046164,109.33614709663092,107.36102084238487,106.81975503092116,109.08353032342264,104.34443747633566,100.28091279878036,94.98196636276788,89.81826144747058,104.10592894585244
1992-04-01,103.62064054895136,106.49441751834264,107.10571328542449,109.37450113597872,108.99518541274952,111.87220443969886,108.33668292302656,107.41489662701476,109.21018295207789,104.25634059735408,102.03709128046208,99.76444867342344,93.37795419911802,105.0563083367182
1992-07-01,99.8999836097275,106.818491890002,105.38818342243208,108.87457424279724,105.97158151870194,107.52656783644228,105.18735200239864,104.3136601331273,106.01421232548287,104.30191876173296,103.17562155859449,97.35095722654025,96.2584433170957,104.21849366459998
1992-10-01,95.25180138115284,101.24297244372988,102.7129765195024,103.18867114383836,101.3960735551436,102.11825895184076,98.833367184444,99.63209099696752,99.44010409621809,97.38712649149956,100.830287587596,96.28358385410547,97.19274380764568,100.07919082777552
1993-01-01,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1993-04-01,103.18459755147198,105.62676205566456,101.61298245887924,105.86848045181806,105.83801686481152,102.47535629933364,100.5422206177561,102.44655693969364,102.37224437362076,103.50127777329408,100.731563494073,99.881151778143,105.07253341621907,103.5703433024498
1993-07-01,99.33710000418814,105.52237782640758,103.77059869142272,104.67398235959948,102.19932208523572,106.99991626886644,102.4828644238632,102.06687182134038,101.63010640888108,102.45621256406636,97.88597933800625,99.40530888871304,105.75627798168172,103.22746774162589
1993-10-01,101.52388000118604,106.43610956159952,101.59324897847932,106.07998235375112,101.35486392654784,107.7687596300488,100.99220547952184,103.99461105222495,101.243735043358,99.86292823046456,98.52546889312077,98.82990964187424,103.6517870130394,101.83826040741911
1994-01-01,97.2346136674729,102.48679082774557,101.79362723609762,104.6884204435274,98.08804253751843,103.76514722705618,102.77008738099008,103.09184686999104,103.56125595867591,103.04251605881883,99.57354875082217,99.04778608202535,109.7422263140644,102.39050549148746
1994-04-01,96.54777630104132,104.07284601268624,100.2522779107248,105.36333280566198,100.48714522368093,105.79273912270762,106.35464766450356,106.97360882119264,104.12715468725531,101.82520742387196,96.24424322507795,101.91935046086796,107.68157434723848,102.46071886823172
1994-07-01,94.29511658231024,100.50071908313276,100.29725797429752,104.41497057262733,100.79978925269478,107.81991213911655,104.61752937790864,105.79141898953849,102.611637705784,103.63888424733342,97.1193834721096,105.70645550935495,115.2824665365194,103.19719361929016
1994-10-01,91.67752126487588,97.62350348289668,100.8441910539965,106.86565842485447,100.77972624461796,105.52177601361724,105.29548172594905,104.85689880151084,104.74067934714186,103.7072784427798,99.55471334545672,99.19743837630867,112.14422256173788,103.96012141367626
1995-01-01,100.37438214743734,97.08465219354105,95.12611493072824,103.55935135773731,100.79451396284266,101.87953632209232,103.34719509741424,103.76437362096368,103.07404605376485,104.44058011798174,93.66524400759143,101.35852732670944,109.58886482509872,101.9064376345126
1995-04-01,98.21460531763545,99.07918506839344,96.19928544190844,103.21054840855564,103.41713189340472,106.9233383872715,110.60609230340842,102.73312246658384,109.63404835656117,106.65745941142906,100.51453899802137,98.67697473498973,117.97655507384285,103.0015609275668
1995-07-01,92.59902530878551,99.46428202054521,95.06967964288009,104.87670592211924,101.87048735004436,105.6620049046798,108.0628990061617,102.46157992244358,110.18415088382687,105.57727514733315,96.3476393254149,98.68117642541063,118.031598062269,102.40524304784168
1995-10-01,94.37944132068077,96.87329788299672,94.51824877423316,104.47404244057832,101.453585843596,106.2687135555536,106.43000402424028,101.11158805476236,110.77451376590572,102.68831419684204,98.42050723658772,98.9009784205355,121.71634897247584,101.5990454787406
1996-01-01,94.99850875967516,94.70999842146067,95.64413405940451,103.4685680113984,103.18645152554822,102.79744772752312,109.92936419105015,102.21367478956668,105.71460039693169,105.16595562854464,93.00917334657343,101.3513215697301,120.34941553664872,102.47137976690708
1996-04-01,98.81286316776529,99.49112105051945,98.82527203156096,106.84161094068448,103.4318524641182,109.12755209873346,115.1931814277162,104.69627979002858,113.63654369550368,106.31221715111188,97.56296826144035,101.83527124306173,130.35201026837743,105.79143911294844
